0.2234298 0 0.8868402|0.5097752|0.4503989|0.6392157 0.6392157 0.6392157 1|1 1 1 1|2||
0.5915729 0 0.415976|0.5258563|0.4656437|0.6039216 0.6039216 0.6039216 1|1 1 1 1|2||
0.570458 0 0.7817786|0.5212079|0.4540373|0.772549 0.772549 0.772549 1|1 1 1 1|3||
0.5697892 0 0.7903568|0.5589659|0.4865508|0.6980392 0.6980392 0.6980392 1|1 1 1 1|3||
0.571453 0 0.7974802|0.5285184|0.5035676|0.7450981 0.7450981 0.7450981 1|1 1 1 1|3||
0.5730023 0 0.8041884|0.5513642|0.4781924|0.8392157 0.8392157 0.8392157 1|1 1 1 1|3||
0.5727169 0 0.8097573|0.5460461|0.471075|0.7529412 0.7529412 0.7529412 1|1 1 1 1|3||
0.5713019 0 0.8165225|0.5097947|0.4808438|0.8 0.8 0.8 1|1 1 1 1|3||
0.5716427 0 0.8208001|0.61382|0.4814689|0.7843137 0.7843137 0.7843137 1|1 1 1 1|3||
0.5717422 0 0.829505|0.5622138|0.4512889|0.8509804 0.8509804 0.8509804 1|1 1 1 1|3||
0.5727126 0 0.8357102|0.5398814|0.5482159|0.7137255 0.7137255 0.7137255 1|1 1 1 1|3||
0.572452 0 0.8421091|0.5901811|0.4691879|0.827451 0.827451 0.827451 1|1 1 1 1|3||
0.5725377 0 0.8470339|0.6108101|0.5228699|0.9137255 0.9137255 0.9137255 1|1 1 1 1|3||
0.5728882 0 0.8546866|0.5882775|0.500509|0.7607843 0.7607843 0.7607843 1|1 1 1 1|3||
0.5726817 0 0.8580435|0.5630025|0.4903103|0.627451 0.627451 0.627451 1|1 1 1 1|3||
0.5730333 0 0.8702554|0.5304855|0.4921912|0.9019608 0.9019608 0.9019608 1|1 1 1 1|3||
0.573064 0 0.8753462|0.5386305|0.5326828|0.6784314 0.6784314 0.6784314 1|1 1 1 1|3||
0.5732157 0 0.8804739|0.5505059|0.4710188|0.6156863 0.6156863 0.6156863 1|1 1 1 1|3||
0.573877 0 0.8894486|0.5883826|0.4851232|0.7529412 0.7529412 0.7529412 1|1 1 1 1|3||
0.571366 0 0.8645926|0.5598027|0.4831562|0.9843137 0.9843137 0.9843137 1|1 1 1 1|3||
0.625775 0 0.7862428|0.5189034|0.5417398|0.7568628 0.7568628 0.7568628 1|1 1 1 1|3||
